================ Training Loss (Sat Mar  4 17:08:13 2023) ================
(epoch: 3, iters: 16, time: 0.050, data: 7.825) loss: 0.958 
(epoch: 5, iters: 32, time: 0.046, data: 0.004) loss: 0.878 
(epoch: 8, iters: 16, time: 0.083, data: 1.964) loss: 0.777 
(epoch: 10, iters: 32, time: 0.081, data: 0.004) loss: 0.701 
(epoch: 13, iters: 16, time: 0.056, data: 2.907) loss: 0.689 
(epoch: 15, iters: 32, time: 0.050, data: 0.006) loss: 0.486 
(epoch: 18, iters: 16, time: 0.047, data: 0.935) loss: 0.380 
(epoch: 20, iters: 32, time: 0.043, data: 0.000) loss: 0.377 
(epoch: 23, iters: 16, time: 0.050, data: 0.892) loss: 0.229 
(epoch: 25, iters: 32, time: 0.048, data: 0.005) loss: 0.300 
(epoch: 28, iters: 16, time: 0.048, data: 1.867) loss: 0.239 
(epoch: 30, iters: 32, time: 0.050, data: 0.000) loss: 0.177 
(epoch: 33, iters: 16, time: 0.040, data: 0.907) loss: 0.226 
(epoch: 35, iters: 32, time: 0.082, data: 0.000) loss: 0.112 
(epoch: 38, iters: 16, time: 0.093, data: 1.252) loss: 0.219 
(epoch: 40, iters: 32, time: 0.051, data: 0.000) loss: 0.186 
(epoch: 43, iters: 16, time: 0.047, data: 0.664) loss: 0.047 
(epoch: 45, iters: 32, time: 0.044, data: 0.000) loss: 0.085 
(epoch: 48, iters: 16, time: 0.066, data: 0.557) loss: 0.186 
(epoch: 50, iters: 32, time: 0.042, data: 0.000) loss: 0.069 
(epoch: 53, iters: 16, time: 0.046, data: 0.583) loss: 0.069 
(epoch: 55, iters: 32, time: 0.061, data: 0.000) loss: 0.073 
================ Training Loss (Sat Mar  4 17:20:32 2023) ================
(epoch: 2, iters: 32, time: 0.039, data: 1.592) loss: 1.219 
(epoch: 4, iters: 16, time: 0.063, data: 0.000) loss: 1.144 
(epoch: 5, iters: 48, time: 0.025, data: 0.005) loss: 0.983 
(epoch: 7, iters: 32, time: 0.040, data: 0.579) loss: 0.899 
